formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C19H34O4	[M + H]+	C19H35O4+	Fatty acids	1.000	Glycerolipids	0.713	Monoacylglycerols	0.827	Lipids and lipid-like molecules	0.995	Glycerolipids	0.706	Monoradylglycerols	0.761	Monoacylglycerols	0.578	Monoacylglycerols	0.578	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monoacylglycerols; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Polyols; 1,2-diols; Monoradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	327.252	160	2.664	731529230454396666	731529083548895779	731529083548895779_UNKNOWN_M327T186_POS	
1	C4H7N3	[M + H]+	C4H8N3+	Alkaloids	0.956	Histidine alkaloids	0.655	Imidazole alkaloids	0.655	Organoheterocyclic compounds	0.994	Azoles	0.663					Azoles	0.663	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Azoles; Amines; Primary amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	98.071	160	2.666	731529214293742920	731529073436427887	731529073436427887_UNKNOWN_M98T128_POS	
1	C22H35NO7	[M + H]+	C22H36NO7+	Fatty acids	0.981	Fatty acyl glycosides	0.157	Ascarosides	0.059	Lipids and lipid-like molecules	0.934	Fatty Acyls	0.920	Fatty acids and conjugates	0.694	Hydroxy fatty acids	0.647	Hydroxy fatty acids	0.647	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxy fatty acids; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	426.251	160	2.669	731529145859476635	731529084597471891	731529084597471891_UNKNOWN_M426T189_POS	
2	C23H31N5O3	[M + H]+	C23H32N5O3+	Amino acids and Peptides	0.305	Small peptides	0.140	Imidazole alkaloids	0.038	Lipids and lipid-like molecules	0.617	Fatty Acyls	0.567					Fatty Acyls	0.567	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	426.251	160	2.669	731529145859476634	731529084597471891	731529084597471891_UNKNOWN_M426T189_POS	
3	C23H37N3O2	[M + K]+	C23H37KN3O2+	Fatty acids	0.971	Fatty amides	0.679	N-acyl ethanolamines (endocannabinoids)	0.456	Lipids and lipid-like molecules	0.785	Fatty Acyls	0.734	Fatty amides	0.565			Fatty amides	0.565	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	426.251	160	2.669	731529145859476636	731529084597471891	731529084597471891_UNKNOWN_M426T189_POS	
1	C22H33NO7	[M + H]+	C22H34NO7+	Fatty acids	0.990	Eicosanoids	0.203	Nitro fatty acids	0.080	Lipids and lipid-like molecules	0.910	Fatty Acyls	0.906	Fatty acids and conjugates	0.782	Long-chain fatty acids	0.610	Long-chain fatty acids	0.610	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Unsaturated fatty acids; Hydroxy fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Heterocyclic fatty acids; Long-chain fatty acids; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	424.236	162	2.698	731529149743402237	731529084568111759	731529084568111759_UNKNOWN_M424T184_POS	
2	C19H37NO7S	[M + H]+	C19H38NO7S+	Fatty acids	0.996	Fatty Acids and Conjugates	0.302	Other Octadecanoids	0.154	Lipids and lipid-like molecules	0.966	Fatty Acyls	0.968	Fatty acids and conjugates	0.967	Long-chain fatty acids	0.790	Long-chain fatty acids	0.790	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Hydroxy fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Thia fatty acids; Secondary alcohols; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	424.236	162	2.698	731529149743402238	731529084568111759	731529084568111759_UNKNOWN_M424T184_POS	
1	C15H10O5	[M + H]+	C15H11O5+	Shikimates and Phenylpropanoids	0.999	Isoflavonoids	0.994	Isoflavones	0.994	Phenylpropanoids and polyketides	0.984	Isoflavonoids	0.985	Isoflav-2-enes	0.989	Isoflavones	0.990	Isoflavones	0.990	Organic compounds; Organoheterocyclic compounds; Pyrans; Benzopyrans; Phenols; Chromones; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Isoflavones; Benzene and substituted derivatives; Benzenoids; Isoflavonoids; Isoflav-2-enes; 1-benzopyrans; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Hydroxyisoflavonoids; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	271.060	167	2.781	731529135977696143	731529082814892499	731529082814892499_UNKNOWN_M271T252_POS	
1	C22H33NO5	[M + H]+	C22H34NO5+	Amino acids and Peptides	0.606	Linear polyketides	0.291	Erythromycins	0.186	Lipids and lipid-like molecules	0.781	Prenol lipids	0.527					Prenol lipids	0.527	Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	392.246	169	2.809	731529162707996106	731529084333230707	731529084333230707_UNKNOWN_M392T169_POS	
2	C23H29N5O	[M + H]+	C23H30N5O+	Alkaloids	0.319	Tryptophan alkaloids	0.038	Quinazoline alkaloids	0.015	Benzenoids	0.651							Benzenoids	0.651	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Diazines; Secondary carboxylic acid amides; Carbonyl compounds; Benzenoids; Amines; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	392.246	169	2.809	731529162707996107	731529084333230707	731529084333230707_UNKNOWN_M392T169_POS	
3	C22H34ClN3O	[M + H]+	C22H35ClN3O+	Terpenoids	0.491	Diterpenoids	0.092	Hapalindole alkaloids	0.129	Benzenoids	0.744	Benzene and substituted derivatives	0.594	Halobenzenes	0.623	Chlorobenzenes	0.693	Chlorobenzenes	0.693	Organic compounds; Lipids and lipid-like molecules; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Aryl chlorides; Carboxylic acid derivatives; Chlorobenzenes; Organochlorides; Secondary carboxylic acid amides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	392.246	169	2.809	731529162707996108	731529084333230707	731529084333230707_UNKNOWN_M392T169_POS	
4	C20H33N5OS	[M + H]+	C20H34N5OS+	Fatty acids	0.292	Fatty amides	0.129	Imidazole alkaloids	0.090	Lipids and lipid-like molecules	0.682							Lipids and lipid-like molecules	0.682	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	392.246	169	2.809	731529162707996109	731529084333230707	731529084333230707_UNKNOWN_M392T169_POS	
1	C19H32O2	[M + H]+	C19H33O2+	Fatty acids	1.000	Fatty Acids and Conjugates	0.995	Unsaturated fatty acids	0.993	Lipids and lipid-like molecules	0.993	Fatty Acyls	0.990	Lineolic acids and derivatives	0.568			Lineolic acids and derivatives	0.568	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Straight chain fatty acids; Unsaturated fatty acids; Lineolic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	293.247	169	2.823	731529124850207535	731529083163019767	731529083163019767_UNKNOWN_M293T179_POS	
1	C19H32O2	[M + H]+	C19H33O2+	Fatty acids	1.000	Fatty Acids and Conjugates	0.995	Unsaturated fatty acids	0.993	Lipids and lipid-like molecules	0.993	Fatty Acyls	0.990	Lineolic acids and derivatives	0.568			Lineolic acids and derivatives	0.568	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Straight chain fatty acids; Unsaturated fatty acids; Lineolic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	293.247	169	2.823	731529149311388909	731529083125271027	731529083125271027_UNKNOWN_M293T280_POS	
1	C36H71NO5	[M + Na]+	C36H71NNaO5+	Fatty acids	0.865	Linear polyketides	0.091	Open-chain polyketides	0.136	Organic acids and derivatives	0.964	Carboxylic acids and derivatives	0.949	Amino acids, peptides, and analogues	0.633	Amino acids and derivatives	0.631	Amino acids and derivatives	0.631	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	620.522	170	2.830	731529241095346115	731529084991736523	731529084991736523_UNKNOWN_M621T171_POS	
1	C38H69NO4	[M + H]+	C38H70NO4+	Fatty acids	0.999	Fatty esters	0.421	N-acyl amines	0.180	Lipids and lipid-like molecules	0.976	Fatty Acyls	0.950	Fatty acid esters	0.910			Fatty acid esters	0.910	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	604.528	170	2.834	731529220895577555	731529084983347911	731529084983347911_UNKNOWN_M605T170_POS	
1	C15H10O4	[M + H]+	C15H11O4+	Shikimates and Phenylpropanoids	0.996	Isoflavonoids	0.980	Isoflavones	0.982	Phenylpropanoids and polyketides	0.977	Isoflavonoids	0.921	Isoflav-2-enes	0.914	Isoflavones	0.916	Isoflavones	0.916	Organic compounds; Organoheterocyclic compounds; Pyrans; Benzopyrans; Phenols; Chromones; Phenylpropanoids and polyketides; Organooxygen compounds; Pyranones and derivatives; Isoflavones; Benzene and substituted derivatives; Benzenoids; Isoflavonoids; Isoflav-2-enes; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Hydroxyisoflavonoids; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	255.065	171	2.850	731529237651822471	731529082290604439	731529082290604439_UNKNOWN_M255T209_POS	
1	C29H48O2	[M + H]+	C29H49O2+	Terpenoids	1.000	Meroterpenoids	1.000	Prenyl quinone meroterpenoids	1.000	Lipids and lipid-like molecules	0.918	Prenol lipids	0.940	Quinone and hydroquinone lipids	0.998	Vitamin E compounds	0.999	Tocopherols	0.813	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Benzopyrans; Alkyl aryl ethers; Tocopherols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Quinone and hydroquinone lipids; Vitamin E compounds; Diterpenoids; Carbonyl compounds; Benzenoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	429.372	172	2.861	731529163651714522	731529084681357983	731529084681357983_UNKNOWN_M429T174_POS	
1	C37H49N3O5	[M + K]+	C37H49KN3O5+	Alkaloids	0.656	Pseudoalkaloids (transamidation)	0.214	Pyridine alkaloids	0.206	Benzenoids	0.802	Benzene and substituted derivatives	0.595	Phenylpropanes	0.552			Phenylpropanes	0.552	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Phenylpropanes; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	654.329	172	2.864	731529235181377369	731529084995930831	731529084995930831_UNKNOWN_M654T173_POS	
1	C29H50O3	[M + H]+	C29H51O3+	Terpenoids	0.999	Meroterpenoids	1.000	Prenyl quinone meroterpenoids	1.000	Lipids and lipid-like molecules	0.916	Prenol lipids	0.881	Quinone and hydroquinone lipids	0.992	Vitamin E compounds	0.998	Vitamin E compounds	0.998	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Benzopyrans; Alkyl aryl ethers; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Quinone and hydroquinone lipids; Vitamin E compounds; Diterpenoids; Carbonyl compounds; Benzenoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	447.382	172	2.867	731529221071738336	731529084740078247	731529084740078247_UNKNOWN_M447T173_POS	
1	C19H39NO3	[M + H]+	C19H40NO3+	Fatty acids	1.000	Fatty amides	0.991	N-acyl ethanolamines (endocannabinoids)	0.567	Lipids and lipid-like molecules	0.914	Fatty Acyls	0.922	Fatty amides	0.768			Fatty amides	0.768	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	330.299	173	2.890	731529219557594573	731529083620198955	731529083620198955_UNKNOWN_M330T178_POS	
1	C22H45NO6	[M + H]+	C22H46NO6+	Fatty acids	0.977	Fatty amides	0.645	N-acyl amines	0.589	Organic acids and derivatives	0.994	Carboxylic acids and derivatives	0.989	Amino acids, peptides, and analogues	0.677	Amino acids and derivatives	0.674	Amino acids and derivatives	0.674	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	420.331	173	2.891	731529120857230118	731529084538751627	731529084538751627_UNKNOWN_M420T176_2_POS	
1	C10H10	[M + H]+	C10H11+	Shikimates and Phenylpropanoids	0.182	Phenylpropanoids (C6-C3)	0.430	Cinnamic acids and derivatives	0.464	Benzenoids	0.960	Benzene and substituted derivatives	0.662					Benzene and substituted derivatives	0.662	Organic compounds; Benzene and substituted derivatives; Benzenoids; Hydrocarbons; Olefins; Unsaturated hydrocarbons; Aromatic hydrocarbons; Chemical entities	131.085	173	2.892	731529233293940550	731529076032702227	731529076032702227_UNKNOWN_M131T201_POS	
2	C6H13NP	[M + H]+	C6H14NP+	Alkaloids	0.623	Fatty acyls	0.135	Acetate-derived alkaloids	0.026	Organic nitrogen compounds	0.704	Organonitrogen compounds	0.569					Organonitrogen compounds	0.569	Organic compounds; Organonitrogen compounds; Organophosphorus compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	131.085	173	2.892	731529233293940551	731529076032702227	731529076032702227_UNKNOWN_M131T201_POS	
3	C7H11FO	[M + H]+	C7H12FO+	Fatty acids	0.644	Fatty acyls	0.220	Halogenated fatty acids	0.586	Organohalogen compounds	0.996	Alkyl halides	0.520					Alkyl halides	0.520	Organic compounds; Organohalogen compounds; Organooxygen compounds; Organofluorides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	131.085	173	2.892	731529233293940552	731529076032702227	731529076032702227_UNKNOWN_M131T201_POS	
1	C32H57NO7	[M + H]+	C32H58NO7+	Amino acids and Peptides	0.316	Macrolides	0.597	Open-chain polyketides	0.359	Lipids and lipid-like molecules	0.797							Lipids and lipid-like molecules	0.797	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	568.425	177	2.945	731529271831205902	731529084891073211	731529084891073211_UNKNOWN_M568T177_1_POS	
