formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
2	C29H53N5O7S	[M + K]+	C29H53KN5O7S+	Amino acids and Peptides	0.402	Oligopeptides	0.692	Linear peptides	0.126	Benzenoids	0.749	Benzene and substituted derivatives	0.618					Benzene and substituted derivatives	0.618	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Sulfonyls; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aminosulfonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	654.331	174	2.900	731532707071632534	731532505375935719	731532505375935719_UNKNOWN_M654T174_1_POS	
1	C33H36N4O6	[M + H]+	C33H37N4O6+	Amino acids and Peptides	0.777	Oligopeptides	0.234	Cyclic peptides	0.059	Organic acids and derivatives	0.987	Carboxylic acids and derivatives	0.972	Amino acids, peptides, and analogues	0.655	Amino acids and derivatives	0.644	Amino acids and derivatives	0.644	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	585.270	177	2.958	731532620564110645	731532505094917311	731532505094917311_UNKNOWN_M585T263_POS	
2	C28H42N4O7	[M + K]+	C28H42KN4O7+	Amino acids and Peptides	0.880	Oligopeptides	0.350	Open-chain polyketides	0.111	Organic acids and derivatives	0.991	Carboxylic acids and derivatives	0.984	Amino acids, peptides, and analogues	0.685	Amino acids and derivatives	0.667	Amino acids and derivatives	0.667	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Carboxylic acid esters; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	585.270	177	2.958	731532620564110646	731532505094917311	731532505094917311_UNKNOWN_M585T263_POS	
3	C28H36N6O8	[M + H]+	C28H37N6O8+	Amino acids and Peptides	0.915	Oligopeptides	0.502	Cyclic peptides	0.180	Organic acids and derivatives	0.990	Carboxylic acids and derivatives	0.970	Amino acids, peptides, and analogues	0.613	Amino acids and derivatives	0.594	Amino acids and derivatives	0.594	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	585.270	177	2.958	731532620564110647	731532505094917311	731532505094917311_UNKNOWN_M585T263_POS	
4	C30H40N4O6S	[M + H]+	C30H41N4O6S+	Amino acids and Peptides	0.933	Oligopeptides	0.810	Cyclamides	0.165	Organic acids and derivatives	0.993	Carboxylic acids and derivatives	0.979	Amino acids, peptides, and analogues	0.665	Amino acids and derivatives	0.648	Amino acids and derivatives	0.648	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	585.270	177	2.958	731532620564110650	731532505094917311	731532505094917311_UNKNOWN_M585T263_POS	
5	C31H38N4O6	[M + Na]+	C31H38N4NaO6+	Amino acids and Peptides	0.885	Oligopeptides	0.294	Cyclic peptides	0.074	Organic acids and derivatives	0.991	Carboxylic acids and derivatives	0.979	Amino acids, peptides, and analogues	0.739	Amino acids and derivatives	0.724	Amino acids and derivatives	0.724	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	585.270	177	2.958	731532620564110649	731532505094917311	731532505094917311_UNKNOWN_M585T263_POS	
6	C38H36N2O4	[M + H]+	C38H37N2O4+	Alkaloids	0.595	Linear polyketides	0.155	Open-chain polyketides	0.090	Organic acids and derivatives	0.979	Carboxylic acids and derivatives	0.969	Amino acids, peptides, and analogues	0.560	Amino acids and derivatives	0.560	Amino acids and derivatives	0.560	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Trialkylamines; Amines; Tertiary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	585.270	177	2.958	731532620564110648	731532505094917311	731532505094917311_UNKNOWN_M585T263_POS	
1	C19H29N3O10	[M + H]+	C19H30N3O10+	Carbohydrates	0.846	Aminosugars and aminoglycosides	0.612	Aminoglycosides	0.501	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Carbohydrates and carbohydrate conjugates	0.826	Aminosaccharides	0.656	2-deoxystreptamine aminoglycosides	0.505	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Aminoglycosides; Organooxygen compounds; Fatty amides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Carboxylic acids; Cyclic alcohols and derivatives; Monosaccharides; Acetals; Secondary alcohols; Aminocyclitol glycosides; Carbonyl compounds; Oxanes; Amines; Alkanolamines; Cyclitols and derivatives; Aminocyclitols and derivatives; Cyclohexanols; Aminosaccharides; 2-deoxystreptamine aminoglycosides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	460.193	179	2.977	731532611609270927	731532503824043019	731532503824043019_UNKNOWN_M460T181_2_POS	
2	C20H33N3O5S2	[M + H]+	C20H34N3O5S2+	Amino acids and Peptides	0.789	Oligopeptides	0.763	Open-chain polyketides	0.102	Lipids and lipid-like molecules	0.469	Fatty Acyls	0.537					Fatty Acyls	0.537	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	460.193	179	2.977	731532611609270928	731532503824043019	731532503824043019_UNKNOWN_M460T181_2_POS	
3	C20H25N7O6	[M + H]+	C20H26N7O6+	Carbohydrates	0.829	Nucleosides	0.517	Purine nucleosides	0.676	Organoheterocyclic compounds	0.977	Imidazopyrimidines	0.789	Purines and purine derivatives	0.810			Purines and purine derivatives	0.810	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Secondary alcohols; Imidazopyrimidines; Carbonyl compounds; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	460.193	179	2.977	731532611609270930	731532503824043019	731532503824043019_UNKNOWN_M460T181_2_POS	
4	C22H31NO8	[M + Na]+	C22H31NNaO8+	Amino acids and Peptides	0.440	Linear polyketides	0.476	Open-chain polyketides	0.315	Lipids and lipid-like molecules	0.780	Fatty Acyls	0.781	Fatty acids and conjugates	0.509			Fatty acids and conjugates	0.509	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	460.193	179	2.977	731532611609270929	731532503824043019	731532503824043019_UNKNOWN_M460T181_2_POS	
5	C20H31N5O5	[M + K]+	C20H31KN5O5+	Amino acids and Peptides	0.665	Oligopeptides	0.215	Cyclic peptides	0.137	Lipids and lipid-like molecules	0.720	Fatty Acyls	0.756	Fatty amides	0.718	N-acyl amines	0.648	N-acyl amines	0.648	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	460.193	179	2.977	731532611609270931	731532503824043019	731532503824043019_UNKNOWN_M460T181_2_POS	
1	C7H16N2O4Si	[M + H]+	C7H17N2O4Si+	Amino acids and Peptides	0.649	Small peptides	0.632	Aminoacids	0.388	Organic acids and derivatives	0.820	Carboxylic acids and derivatives	0.602					Carboxylic acids and derivatives	0.602	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	221.096	179	2.984	731532548640181777	731532501332626095	731532501332626095_UNKNOWN_M221T181_POS	
1	C23H30N2O2	[M + H]+	C23H31N2O2+	Shikimates and Phenylpropanoids	0.492	Flavonoids	0.856	Chalcones	0.802	Organoheterocyclic compounds	0.945	Oxazinanes	0.920	Morpholines	0.911	Phenylmorpholines	0.841	Phenylmorpholines	0.841	Organic compounds; Organoheterocyclic compounds; Oxazinanes; Ketones; Ethers; Organonitrogen compounds; Aniline and substituted anilines; Benzoyl derivatives; Organooxygen compounds; Phenylmorpholines; Morpholines; Dialkyl ethers; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Tertiary alkylarylamines; Aryl ketones; Dialkylarylamines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Phenylketones; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	367.238	179	2.988	731532552557661823	731532503048096671	731532503048096671_UNKNOWN_M367T181_3_POS	
2	C20H31FN2O3	[M + H]+	C20H32FN2O3+	Amino acids and Peptides	0.159	Pseudoalkaloids (transamidation)	0.053	Phenylalanine-derived alkaloids	0.046	Benzenoids	0.986	Benzene and substituted derivatives	0.957	Halobenzenes	0.848	Fluorobenzenes	0.852	Fluorobenzenes	0.852	Organic compounds; Halobenzenes; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Aryl fluorides; Carboxylic acid derivatives; Fluorobenzenes; Dialkyl ethers; Organofluorides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	367.238	179	2.988	731532552557661824	731532503048096671	731532503048096671_UNKNOWN_M367T181_3_POS	
1	C10H16O3	[M + K]+	C10H16KO3+	Fatty acids	0.605	Fatty esters	0.228	Jasmonic acids	0.303	Organic acids and derivatives	0.818	Carboxylic acids and derivatives	0.808	Carboxylic acid derivatives	0.549	Carboxylic acid esters	0.536	Carboxylic acid esters	0.536	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	223.075	184	3.063	731532625639218689	731532501387152055	731532501387152055_UNKNOWN_M223T174_POS	
1	C24H45NO6	[M + H]+	C24H46NO6+	Alkaloids	0.882	Tyrosine alkaloids	0.566	Phenylethylamines	0.376	Benzenoids	0.931	Phenol ethers	0.685					Phenol ethers	0.685	Organic compounds; Alkyl aryl ethers; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Dialkyl ethers; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	444.332	184	3.066	731532549562928690	731532503660465139	731532503660465139_UNKNOWN_M444T338_POS	
2	C25H41N5O2	[M + H]+	C25H42N5O2+	Alkaloids	0.902	Pseudoalkaloids (transamidation)	0.520	Purine alkaloids	0.173	Benzenoids	0.998	Benzene and substituted derivatives	0.992	Phenylpropanes	0.539			Phenylpropanes	0.539	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Alkyl aryl ethers; Alcohols and polyols; Anisoles; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Secondary amines; Benzylamines; Phenylpropanes; Imidolactams; Methoxybenzenes; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	444.332	184	3.066	731532549562928689	731532503660465139	731532503660465139_UNKNOWN_M444T338_POS	
1	C24H45NO6	[M + H]+	C24H46NO6+	Alkaloids	0.882	Tyrosine alkaloids	0.566	Phenylethylamines	0.376	Benzenoids	0.931	Phenol ethers	0.685					Phenol ethers	0.685	Organic compounds; Alkyl aryl ethers; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Dialkyl ethers; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	444.332	184	3.066	731532612330691278	731532503605939179	731532503605939179_UNKNOWN_M444T273_POS	
2	C25H41N5O2	[M + H]+	C25H42N5O2+	Alkaloids	0.902	Pseudoalkaloids (transamidation)	0.520	Purine alkaloids	0.173	Benzenoids	0.998	Benzene and substituted derivatives	0.992	Phenylpropanes	0.539			Phenylpropanes	0.539	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Alkyl aryl ethers; Alcohols and polyols; Anisoles; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Secondary amines; Benzylamines; Phenylpropanes; Imidolactams; Methoxybenzenes; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	444.332	184	3.066	731532612330691277	731532503605939179	731532503605939179_UNKNOWN_M444T273_POS	
1	C24H45NO6	[M + H]+	C24H46NO6+	Alkaloids	0.882	Tyrosine alkaloids	0.566	Phenylethylamines	0.376	Benzenoids	0.931	Phenol ethers	0.685					Phenol ethers	0.685	Organic compounds; Alkyl aryl ethers; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Dialkyl ethers; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	444.332	184	3.066	731532648322016143	731532503635299311	731532503635299311_UNKNOWN_M444T141_POS	
2	C25H41N5O2	[M + H]+	C25H42N5O2+	Alkaloids	0.902	Pseudoalkaloids (transamidation)	0.520	Purine alkaloids	0.173	Benzenoids	0.998	Benzene and substituted derivatives	0.992	Phenylpropanes	0.539			Phenylpropanes	0.539	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Alkyl aryl ethers; Alcohols and polyols; Anisoles; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Secondary amines; Benzylamines; Phenylpropanes; Imidolactams; Methoxybenzenes; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	444.332	184	3.066	731532648322016142	731532503635299311	731532503635299311_UNKNOWN_M444T141_POS	
1	C24H45NO6	[M + H]+	C24H46NO6+	Alkaloids	0.882	Tyrosine alkaloids	0.566	Phenylethylamines	0.376	Benzenoids	0.931	Phenol ethers	0.685					Phenol ethers	0.685	Organic compounds; Alkyl aryl ethers; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Dialkyl ethers; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	444.332	184	3.066	731532653044802603	731532503689825271	731532503689825271_UNKNOWN_M444T188_POS	
